1_Computer Vision_Massachusetts Institute of Technology,2_Computer Vision_Georgia Institute of Technology,1
1_Human-Computer Interaction_Massachusetts Institute of Technology,2_Human-Computer Interaction_University of Illinois at Urbana-Champaign,1
1_Human-Computer Interaction_University of Illinois at Urbana-Champaign,2_Human-Computer Interaction_Georgia Institute of Technology,1
1_Scientific Computing_University of Virginia,2_Scientific Computing_Carnegie Mellon University,1
1_Bioinformatics & Computational Biology_Massachusetts Institute of Technology,2_Bioinformatics & Computational Biology_Carnegie Mellon University,1
1_Security & Privacy_Princeton University,2_Security & Privacy_Stanford University,1
1_Security & Privacy_Carnegie Mellon University,2_Security & Privacy_Carnegie Mellon University,3
1_Bioinformatics & Computational Biology_Stanford University,2_Bioinformatics & Computational Biology_Massachusetts Institute of Technology,1
1_Algorithms & Theory_Carnegie Mellon University,2_Algorithms & Theory_Stanford University,2
1_Distributed & Parallel Computing_Hebrew University of Jerusalem,2_Distributed & Parallel Computing_University of Illinois at Urbana-Champaign,1
1_Algorithms & Theory_Princeton University,2_Algorithms & Theory_University of California - Berkeley,1
1_Human-Computer Interaction_University of Colorado Boulder,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Human-Computer Interaction_Carnegie Mellon University,2_Human-Computer Interaction_Carnegie Mellon University,6
1_Artificial Intelligence_University of Rochester,2_Artificial Intelligence_University of Washington,1
1_Natural Language & Speech_Johns Hopkins University,2_Natural Language & Speech_University of Washington,1
1_Scientific Computing_University of Michigan,2_Scientific Computing_Cornell University,1
1_Distributed & Parallel Computing_Hebrew University of Jerusalem,2_Distributed & Parallel Computing_Massachusetts Institute of Technology,1
1_Artificial Intelligence_Stanford University,2_Artificial Intelligence_Massachusetts Institute of Technology,2
1_Computer Vision_Carnegie Mellon University,2_Computer Vision_Georgia Institute of Technology,1
1_Algorithms & Theory_Harvard University,2_Algorithms & Theory_Georgia Institute of Technology,1
1_Artificial Intelligence_Massachusetts Institute of Technology,2_Artificial Intelligence_Massachusetts Institute of Technology,3
1_Algorithms & Theory_Harvard University,2_Algorithms & Theory_University of Texas - Austin,1
1_Software Engineering_University of California - Berkeley,2_Software Engineering_Cornell University,1
1_Human-Computer Interaction_University of Chicago,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Human-Computer Interaction_Brown University,2_Human-Computer Interaction_Georgia Institute of Technology,1
1_Hardware & Architecture_Stanford University,2_Hardware & Architecture_Stanford University,1
1_Scientific Computing_University of Chicago,2_Scientific Computing_Carnegie Mellon University,1
1_Operating Systems_University of California - Berkeley,2_Operating Systems_University of Washington,1
1_Human-Computer Interaction_Harvard University,2_Human-Computer Interaction_Carnegie Mellon University,1
1_Computer Vision_Massachusetts Institute of Technology,2_Computer Vision_Princeton University,1
1_Programming Languages_University of Pennsylvania,2_Programming Languages_Cornell University,1
1_Real-Time & Embedded Systems_Stanford University,2_Real-Time & Embedded Systems_Carnegie Mellon University,1
1_Networks & Communications_Massachusetts Institute of Technology,2_Networks & Communications_Carnegie Mellon University,1
1_Hardware & Architecture_University of California - Berkeley,2_Hardware & Architecture_University of California - Berkeley,1
1_Human-Computer Interaction_Columbia University,2_Human-Computer Interaction_Georgia Institute of Technology,1
1_Computer Education_Stanford University,2_Computer Education_Massachusetts Institute of Technology,1
1_Distributed & Parallel Computing_University of California - Berkeley,2_Distributed & Parallel Computing_Cornell University,1
1_Human-Computer Interaction_University of California - Irvine,2_Human-Computer Interaction_Georgia Institute of Technology,1
1_Artificial Intelligence_Massachusetts Institute of Technology,2_Artificial Intelligence_Georgia Institute of Technology,1
1_Programming Languages_Carnegie Mellon University,2_Programming Languages_Carnegie Mellon University,2
1_Bioinformatics & Computational Biology_California Institute of Technology,2_Bioinformatics & Computational Biology_Massachusetts Institute of Technology,1
1_Real-Time & Embedded Systems_Massachusetts Institute of Technology,2_Real-Time & Embedded Systems_University of Washington,1
1_Scientific Computing_University of Washington,2_Scientific Computing_Carnegie Mellon University,1
1_Distributed & Parallel Computing_Cornell University,2_Distributed & Parallel Computing_University of Texas - Austin,1
1_Algorithms & Theory_University of California - Berkeley,2_Algorithms & Theory_University of Texas - Austin,1
1_Distributed & Parallel Computing_University of California - Berkeley,2_Distributed & Parallel Computing_Georgia Institute of Technology,2
1_Algorithms & Theory_University of Edinburgh,2_Algorithms & Theory_University of California - Berkeley,1
1_Computer Vision_Massachusetts Institute of Technology,2_Computer Vision_University of Texas - Austin,1
1_Programming Languages_Carnegie Mellon University,2_Programming Languages_University of California - Berkeley,1
1_Networks & Communications_University of California - Berkeley,2_Networks & Communications_Stanford University,1
1_Programming Languages_California Institute of Technology,2_Programming Languages_Carnegie Mellon University,1
1_Scientific Computing_California Institute of Technology,2_Scientific Computing_University of Illinois at Urbana-Champaign,1
1_Security & Privacy_Massachusetts Institute of Technology,2_Security & Privacy_Massachusetts Institute of Technology,1
1_Human-Computer Interaction_Princeton University,2_Human-Computer Interaction_Princeton University,1
1_Computer Education_Yale University,2_Computer Education_Georgia Institute of Technology,1
1_Human-Computer Interaction_Stanford University,2_Human-Computer Interaction_University of California - Berkeley,2
1_Programming Languages_Harvard University,2_Programming Languages_Stanford University,1
