Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Alvin R. Lebeck,Duke University,2007,Full,Hardware & Architecture,University of Wisconsin - Madison,University of Wisconsin - Madison
Andrew Hilton,Duke University,2012,Practice,Algorithms & Theory,Georgia Institute of Technology,University of Pennsylvania
Ashwin Machanavajjhala,Duke University,2012,Assistant,Security & Privacy,Indian Institute of Technology - Madras,Cornell University
Barbara E. Engelhardt,Duke University,2012,Assistant,Bioinformatics & Computational Biology,Stanford University,University of California - Berkeley
Benjamin C. Lee,Duke University,2010,Assistant,Hardware & Architecture,University of California - Berkeley,Harvard University
Bruce Maggs,Duke University,2009,Full,Distributed & Parallel Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Bruce R. Donald,Duke University,2006,Full,Bioinformatics & Computational Biology,Yale University,Massachusetts Institute of Technology
Carla Schlatter Ellis,Duke University,,Full,Operating Systems,University of Toledo,University of Washington
Carlo Tomasi,Duke University,2001,Full,Computer Vision,University of Padua,University of Padua
Chris Dwyer,Duke University,2004,Associate,Bioinformatics & Computational Biology,Pennsylvania State University,University of North Carolina - Chapel Hill
Craig Henriquez,Duke University,,Full,Bioinformatics & Computational Biology,Duke University,Duke University
Daniel J. Sorin,Duke University,2002,Associate,Hardware & Architecture,Duke University,University of Wisconsin - Madison
Debmalya Panigrahi,Duke University,2013,Assistant,Algorithms & Theory,Jadavpur University,Massachusetts Institute of Technology
Donald J. Rose,Duke University,,Full,Scientific Computing,University of California - Berkeley,Harvard University
Donald Loveland,Duke University,,Full,Artificial Intelligence,Oberlin College,New York University
Guillermo Sapiro,Duke University,,Full,Computer Vision,Technion-Israel Institute of Technology,Technion-Israel Institute of Technology
Jeffrey R. N. Forbes,Duke University,2001,Practice,Computer Education,Stanford University,University of California - Berkeley
Jeffrey S. Chase,Duke University,1995,Full,Software Engineering,Dartmouth College,University of Washington
John A. Board,Duke University,1987,Associate,Computer Education,Duke University,University of Oxford
John H. Reif,Duke University,1986,Full,Algorithms & Theory,Tufts University,Harvard University
John Harer,Duke University,1993,Full,Algorithms & Theory,Haverford College,University of California - Berkeley
Jun Yang,Duke University,2001,Associate,Databases,University of California - Berkeley,Stanford University
Jungsang Kim,Duke University,2004,Full,Networks & Communications,Seoul National University - Seoul,Stanford University
Kamesh Munagala,Duke University,2004,Associate,Algorithms & Theory,Indian Institute of Technology - Bombay,Stanford University
Katherine Heller,Duke University,,Assistant,Machine Learning & Pattern Recognition,State University of New York - Stony Brook,University College London
Kishor S. Trivedi,Duke University,1975,Full,Distributed & Parallel Computing,Indian Institute of Technology - Bombay,University of Illinois at Urbana-Champaign
Krishnendu Chakrabarty,Duke University,1988,Full,Hardware & Architecture,Indian Institute of Technology - Kharagpur,University of Michigan
Landon Cox,Duke University,2005,Assistant,Security & Privacy,Duke University,University of Michigan
Lars Arge,Duke University,,Full,Algorithms & Theory,University of Aarhus,University of Aarhus
Lisa Hsu,Duke University,,Adjunct,Hardware & Architecture,Princeton University,University of Michigan
Mauro Maggioni,Duke University,2006,Full,Algorithms & Theory,University of Milan,Washington University - St. Louis
Pankaj K. Agarwal,Duke University,2002,Full,Algorithms & Theory,Indian Institute of Technology - Roorkee,New York University
Raluca-Mihaela Gordan,Duke University,2011,Assistant,Bioinformatics & Computational Biology,Alexandru Ioan Cuza University,Duke University
Robert Calderbank,Duke University,,Full,Networks & Communications,University of Warwick,California Institute of Technology
Robert L. Bryant,Duke University,1987,Full,Algorithms & Theory,North Carolina State University,University of North Carolina - Chapel Hill
Robert Wagner,Duke University,2006,Full,Computer Education,Massachusetts Institute of Technology,Carnegie Mellon University
romit roy choudhury,Duke University,,Adjunct,Hardware & Architecture,Haldia Institute of Technology,University of Illinois at Urbana-Champaign
Ronald E. Parr,Duke University,2000,Full,Artificial Intelligence,Princeton University,University of California - Berkeley
Scott C. Schmidler,Duke University,,Associate,Bioinformatics & Computational Biology,University of California - Berkeley,Stanford University
Shivnath Babu,Duke University,2011,Full,Databases,Indian Institute of Technology - Madras,Stanford University
Silvia Ferrari,Duke University,2005,Associate,Machine Learning & Pattern Recognition,Embry-Riddle Aeronautical University,Princeton University
Sina Farsiu,Duke University,2007,Assistant,Bioinformatics & Computational Biology,University of California - Santa Cruz,Duke University
Susan H. Rodger,Duke University,1994,Practice,Algorithms & Theory,North Carolina State University,Purdue University
Theo Benson,Duke University,2013,Assistant,Networks & Communications,Tufts University,University of Wisconsin - Madison
Vincent Conitzer,Duke University,2006,Full,Artificial Intelligence,Harvard University,Carnegie Mellon University
Xiaowei Yang,Duke University,2008,Associate,Networks & Communications,Tsinghua University - Beijing,Massachusetts Institute of Technology
Aaron Bobick,Georgia Institute of Technology,1999,Full,Computer Vision,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Alex Endert,Georgia Institute of Technology,2014,Assistant,Human-Computer Interaction,College of Charleston,Virginia Polytechnic Institute and State University
Alexander Gray,Georgia Institute of Technology,2005,Assistant,Algorithms & Theory,University of California - Berkeley,Carnegie Mellon University
Alexandra Boldyreva,Georgia Institute of Technology,2004,Associate,Security & Privacy,Saint Petersburg Polytechnical University,University of California - San Diego
Amy Bruckman,Georgia Institute of Technology,,Full,Computer Education,Harvard University,Massachusetts Institute of Technology
Andrea Thomaz,Georgia Institute of Technology,,Associate,Artificial Intelligence,University of Texas - Austin,Massachusetts Institute of Technology
Annie Antón,Georgia Institute of Technology,,Full,Software Engineering,Georgia Institute of Technology,Georgia Institute of Technology
Beki Grinter,Georgia Institute of Technology,,Full,Human-Computer Interaction,University of Leeds,University of California - Irvine
Betsy DiSalvo,Georgia Institute of Technology,2012,Assistant,Human-Computer Interaction,University of Dallas,Georgia Institute of Technology
Blair MacIntyre,Georgia Institute of Technology,1999,Associate,Graphics,University of Waterloo - Ontario,Columbia University
Calton Pu,Georgia Institute of Technology,1999,Full,Distributed & Parallel Computing,University of São Paulo,University of Washington
Charles Isbell - Jr.,Georgia Institute of Technology,,Full,Machine Learning & Pattern Recognition,Georgia Institute of Technology,Massachusetts Institute of Technology
Chris Peikert,Georgia Institute of Technology,2009,Assistant,Algorithms & Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Colin Potts,Georgia Institute of Technology,1992,Associate,Software Engineering,Durham University,University of Sheffield
Dana Randall,Georgia Institute of Technology,,Full,Algorithms & Theory,Harvard University,University of California - Berkeley
David A. Bader,Georgia Institute of Technology,2005,Full,Distributed & Parallel Computing,Lehigh University,University of Maryland - College Park
Edmond Chow,Georgia Institute of Technology,2010,Associate,Distributed & Parallel Computing,University of Waterloo - Ontario,University of Minnesota - Twin Cities
Edward Omiecinski,Georgia Institute of Technology,1993,Associate,Databases,University of Florida,Northwestern University
Elizabeth Mynatt,Georgia Institute of Technology,,Full,Human-Computer Interaction,North Carolina State University,Georgia Institute of Technology
Ellen Do,Georgia Institute of Technology,,Full,Human-Computer Interaction,National Cheng-Kung University,Georgia Institute of Technology
Ellen Zegura,Georgia Institute of Technology,1993,Full,Networks & Communications,Washington University - St. Louis,Washington University - St. Louis
Eric Gilbert,Georgia Institute of Technology,2011,Assistant,Human-Computer Interaction,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Frank Dellaert,Georgia Institute of Technology,2001,Full,Artificial Intelligence,Case Western Reserve University,Carnegie Mellon University
Gregory Abowd,Georgia Institute of Technology,,Full,Human-Computer Interaction,University of Notre Dame,University of Oxford
Hadi Esmaeilzadeh,Georgia Institute of Technology,2013,Assistant,Hardware & Architecture,University of Tehran,University of Washington
Haesun Park,Georgia Institute of Technology,,Full,Scientific Computing,Seoul National University - Seoul,Cornell University
Henrik Christensen,Georgia Institute of Technology,2006,Full,Artificial Intelligence,Frerikshavn Technical School,Aalborg University
Hongyuan Zha,Georgia Institute of Technology,2006,Full,Machine Learning & Pattern Recognition,Fudan University - Shanghai,Stanford University
Hyesoon Kim,Georgia Institute of Technology,2007,Associate,Hardware & Architecture,Korea Advanced Institute of Science and Technology,University of Texas - Austin
Jack Poulson,Georgia Institute of Technology,2013,Assistant,Distributed & Parallel Computing,University of Texas - Austin,University of Texas - Austin
James Foley,Georgia Institute of Technology,,Full,Human-Computer Interaction,Lehigh University,University of Michigan
James Rehg,Georgia Institute of Technology,2001,Full,Computer Vision,Virginia Polytechnic Institute and State University,Carnegie Mellon University
Janet Kolodner,Georgia Institute of Technology,,Full,Computer Education,Brandeis University,Yale University
Jarek Rossignac,Georgia Institute of Technology,1996,Full,Graphics,École Nationale Supérieure d'Electricité et de Mécanique,University of Rochester
